,Date,Symbol,Open,High,Low,Close,PrevClose,Volume,Turnover,VWAP,Trades,Daily_Return_%,MA_20,MA_50
199,1995-02-15,TATAMOTORS,490,490,486.1,486.1,483,300,146680,488.93,,0.6418219462,491.365,
200,1995-02-16,TATAMOTORS,480,482.5,480,482,486.1,1050,504350,480.33,,-0.8434478502,491.465,
201,1995-02-17,TATAMOTORS,480,485,475,481.5,482,50650,24182250,477.44,,-0.1037344398,491.44,
202,1995-02-20,TATAMOTORS,481,481,474,475,481.5,1700,810817.5,476.95,,-1.349948079,492.565,
203,1995-02-21,TATAMOTORS,468,468,456.05,464.1,475,850,391415,460.49,,-2.294736842,492.395,
204,1995-02-22,TATAMOTORS,455,456,445,445.1,464.1,350,157857.5,451.02,,-4.09394527,490.65,
205,1995-02-23,TATAMOTORS,479,485,467,474,445.1,2350,1120150,476.66,,6.492922939,490.1,
206,1995-02-24,TATAMOTORS,484.95,485,470,470,474,6400,3097320,483.96,,-0.8438818565,488.75,
207,1995-02-28,TATAMOTORS,468,470,460,463.35,470,20100,9420547.5,468.68,,-1.414893617,486.5425,
208,1995-03-01,TATAMOTORS,470,490,470,480,463.35,17550,8340100,475.22,,3.593395921,485.2925,
209,1995-03-02,TATAMOTORS,485,489.95,480.5,481.5,480,27550,13307197.5,483.02,,0.3125,483.8925,
210,1995-03-03,TATAMOTORS,482,485,480,485,481.5,900,435312.5,483.68,,0.7268951194,482.6425,
211,1995-03-06,TATAMOTORS,490,490,479,479,485,5800,2781175,479.51,,-1.237113402,481.5925,
212,1995-03-07,TATAMOTORS,480.1,480.1,475,477.5,479,1500,717755,478.5,,-0.3131524008,480.3675,
213,1995-03-08,TATAMOTORS,480,480,470,470,477.5,1200,570650,475.54,,-1.570680628,478.9925,
214,1995-03-09,TATAMOTORS,480,485,465,465,470,1800,850602.5,472.56,,-1.063829787,477.0425,
215,1995-03-10,TATAMOTORS,470,475,465,465,465,3850,1795100,466.26,,0,475.6925,
216,1995-03-13,TATAMOTORS,450,460,450,451,465,1850,843382.5,455.88,,-3.010752688,473.6425,484.404
217,1995-03-14,TATAMOTORS,460,465,455,460,451,4800,2207210,459.84,,1.99556541,471.9075,483.12
218,1995-03-15,TATAMOTORS,485,494,455,455,460,5800,2706512.5,466.64,,-1.086956522,470.5075,481.92
219,1995-03-16,TATAMOTORS,464,464,452,455,455,500,228612.5,457.23,,0,468.9525,480.72
220,1995-03-20,TATAMOTORS,455,457.5,451,451,455,800,362462.5,453.08,,-0.8791208791,467.4025,480.14
